epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,645.396,2.01804,1.50905,2.11301,0.7283,0.54765,0.61788,0.22495,2.25374,1.62405,2.25571,0.00127971,0.00127971,0.00127971
43,657.384,1.93666,1.49743,2.0108,0.85984,0.59371,0.73533,0.26395,2.17956,1.47938,2.2492,0.00124944,0.00124944,0.00124944
44,674.713,1.92244,1.42254,2.03375,0.93013,0.62366,0.79063,0.32983,2.09838,1.32304,2.14642,0.00121893,0.00121893,0.00121893
45,686.427,1.94568,1.37741,2.01567,0.83288,0.70968,0.81532,0.34597,2.06038,1.36974,2.18352,0.00118819,0.00118819,0.00118819
46,707.212,1.95936,1.44155,2.08778,0.71623,0.73118,0.79964,0.34344,2.00568,1.35129,2.10587,0.00115728,0.00115728,0.00115728
47,718.128,1.86881,1.41681,2.00224,0.82379,0.7038,0.83982,0.39296,1.90441,1.20155,2.02717,0.00112621,0.00112621,0.00112621
48,737.491,1.89471,1.46421,2.01425,0.73802,0.66667,0.75694,0.33014,2.09393,1.32614,2.09551,0.00109501,0.00109501,0.00109501
49,748.848,1.85938,1.38374,1.98557,0.9144,0.68918,0.81874,0.38096,1.91896,1.42145,2.0186,0.00106373,0.00106373,0.00106373
50,765.806,1.84568,1.34967,1.99196,0.77962,0.72278,0.79293,0.3283,2.06358,1.2934,2.12706,0.00103238,0.00103238,0.00103238
51,777.611,1.85201,1.35698,1.97947,0.84623,0.76928,0.83283,0.3855,1.8743,1.20587,2.00102,0.001001,0.001001,0.001001
52,795.837,1.85214,1.35986,1.99495,0.86129,0.73118,0.84387,0.37658,1.96417,1.21176,2.05571,0.000969621,0.000969621,0.000969621
53,810.046,1.86387,1.35827,1.96518,0.85557,0.67742,0.78792,0.31305,2.16242,1.24401,2.15929,0.000938272,0.000938272,0.000938272
54,824.788,1.84873,1.38984,1.98179,0.72036,0.77419,0.83714,0.40464,1.72301,1.19908,1.89598,0.000906986,0.000906986,0.000906986
55,840.348,1.8102,1.34057,1.92785,0.73757,0.74194,0.81401,0.35195,1.91743,1.37183,2.00359,0.000875792,0.000875792,0.000875792
56,854.874,1.84846,1.37247,1.99149,0.90238,0.70968,0.82262,0.36242,1.93375,1.2379,2.02792,0.000844722,0.000844722,0.000844722
57,866.351,1.82236,1.36049,1.95176,0.889,0.68898,0.83883,0.41314,1.78687,1.26158,1.94529,0.000813806,0.000813806,0.000813806
58,886.357,1.77531,1.32794,1.98952,0.79024,0.77419,0.81871,0.37897,1.86389,1.22162,1.99946,0.000783075,0.000783075,0.000783075
59,900.417,1.80491,1.29133,1.91209,0.81665,0.77419,0.85311,0.39892,1.87837,1.15936,2.0708,0.000752559,0.000752559,0.000752559
60,914.908,1.80293,1.25922,1.87747,0.83784,0.78495,0.85956,0.39439,1.93199,1.14367,2.13391,0.000722288,0.000722288,0.000722288
61,929.118,1.78594,1.271,1.88451,0.8336,0.75414,0.85388,0.42418,1.78248,1.16302,1.91318,0.000692292,0.000692292,0.000692292
62,945.776,1.77829,1.24574,1.89664,0.96055,0.76344,0.85601,0.32252,2.07235,1.18443,2.07314,0.000662601,0.000662601,0.000662601
63,960.259,1.83846,1.29781,1.91274,0.89288,0.71707,0.8294,0.45388,1.64819,1.17603,1.88369,0.000633244,0.000633244,0.000633244
64,976.187,1.72058,1.19708,1.85797,0.87134,0.76344,0.85879,0.37833,1.94363,1.15869,1.99738,0.000604249,0.000604249,0.000604249
65,990.391,1.83842,1.27116,1.91795,0.91995,0.7414,0.87868,0.43604,1.76095,1.10726,1.91258,0.000575646,0.000575646,0.000575646
66,1004.78,1.71558,1.22623,1.83585,0.92136,0.75593,0.87683,0.42358,1.76787,1.10249,1.88566,0.000547463,0.000547463,0.000547463
67,1016.43,1.79218,1.29092,1.89208,0.92509,0.79679,0.88513,0.43941,1.77337,1.05854,1.92407,0.000519728,0.000519728,0.000519728
68,1034.33,1.69364,1.20632,1.83058,0.94832,0.7957,0.88869,0.44711,1.75547,1.0807,1.88932,0.000492468,0.000492468,0.000492468
69,1048.49,1.76049,1.22549,1.85331,0.93775,0.76344,0.88545,0.41563,1.86561,1.11242,1.97912,0.000465709,0.000465709,0.000465709
70,1058.45,1.75399,1.21984,1.83902,0.94422,0.72043,0.87017,0.44086,1.77264,1.13125,1.90705,0.000439479,0.000439479,0.000439479
71,1071.8,1.76669,1.19493,1.86315,0.85715,0.83875,0.88328,0.47134,1.73143,1.07259,1.88438,0.000413803,0.000413803,0.000413803
72,1089.75,1.72461,1.25225,1.84534,0.93178,0.8172,0.89713,0.42629,1.86619,1.04918,1.9298,0.000388706,0.000388706,0.000388706
73,1101.46,1.7287,1.19905,1.86135,0.95882,0.75113,0.88308,0.40574,1.8913,1.08705,1.96799,0.000364213,0.000364213,0.000364213
74,1117.53,1.67615,1.19266,1.85176,0.88046,0.79202,0.89162,0.47061,1.70615,1.06692,1.84873,0.000340349,0.000340349,0.000340349
75,1131.21,1.68289,1.16184,1.80681,0.91413,0.78495,0.89443,0.46514,1.69936,1.04884,1.83666,0.000317137,0.000317137,0.000317137
76,1145.85,1.61836,1.16219,1.78656,0.955,0.74194,0.88105,0.44943,1.69664,1.04465,1.8372,0.0002946,0.0002946,0.0002946
77,1160.43,1.61918,1.18683,1.75447,0.93344,0.75398,0.88307,0.43791,1.74027,1.02484,1.85368,0.00027276,0.00027276,0.00027276
78,1173.63,1.68952,1.15162,1.84069,0.89352,0.81214,0.87862,0.44596,1.73691,1.0608,1.85692,0.000251639,0.000251639,0.000251639
79,1185.1,1.64141,1.17312,1.81481,0.93851,0.82059,0.90607,0.46421,1.6761,0.99084,1.81115,0.000231257,0.000231257,0.000231257
80,1197.69,1.68288,1.13524,1.82344,0.93996,0.78495,0.88596,0.42663,1.79207,1.01114,1.86996,0.000211635,0.000211635,0.000211635
81,1209.92,1.65922,1.15513,1.81674,0.95958,0.76574,0.89637,0.4558,1.78001,1.01597,1.86829,0.000192792,0.000192792,0.000192792
82,1224.08,1.69645,1.16926,1.81826,0.94705,0.75269,0.8913,0.4828,1.65862,0.98737,1.81471,0.000174747,0.000174747,0.000174747
83,1239.17,1.67178,1.15008,1.81514,0.86812,0.8172,0.88642,0.44376,1.72767,1.00485,1.84137,0.000157516,0.000157516,0.000157516
84,1252.88,1.62874,1.12243,1.75643,0.93821,0.81631,0.89446,0.42571,1.79555,1.03597,1.89264,0.000141119,0.000141119,0.000141119
85,1264.52,1.62921,1.16069,1.80769,0.92457,0.79084,0.89111,0.42201,1.78696,1.05156,1.89463,0.00012557,0.00012557,0.00012557
86,1284.08,1.62764,1.10074,1.77919,0.92665,0.80645,0.89685,0.45382,1.7171,0.99602,1.84926,0.000110884,0.000110884,0.000110884
87,1295.26,1.60836,1.14217,1.79632,0.9042,0.7957,0.88223,0.45636,1.69371,0.98079,1.81859,9.70778e-05,9.70778e-05,9.70778e-05
88,1312.84,1.60213,1.09288,1.75709,0.90254,0.79662,0.89623,0.46928,1.6621,0.97171,1.80516,8.41631e-05,8.41631e-05,8.41631e-05
89,1327.03,1.6645,1.17332,1.83448,0.96008,0.77583,0.89657,0.46537,1.69276,0.98887,1.82384,7.21533e-05,7.21533e-05,7.21533e-05
90,1341.03,1.60132,1.12714,1.79254,0.94853,0.78495,0.89708,0.45063,1.75859,1.00933,1.86293,6.10601e-05,6.10601e-05,6.10601e-05
91,1358.39,1.50047,1.1016,1.7633,0.936,0.7957,0.89286,0.4532,1.73161,1.00259,1.85294,5.08945e-05,5.08945e-05,5.08945e-05
92,1369.5,1.45856,1.01595,1.7283,0.90771,0.8461,0.90742,0.45938,1.69352,0.98481,1.82661,4.16666e-05,4.16666e-05,4.16666e-05
93,1384.69,1.50406,1.04276,1.72197,0.927,0.84946,0.90864,0.46251,1.66799,0.98378,1.81161,3.33854e-05,3.33854e-05,3.33854e-05
94,1395.82,1.45578,0.95585,1.72104,0.90599,0.8172,0.9043,0.46215,1.65507,0.9774,1.80165,2.60592e-05,2.60592e-05,2.60592e-05
95,1407.93,1.48404,0.95837,1.72117,0.9068,0.83698,0.90969,0.45929,1.6535,0.9667,1.8029,1.9695e-05,1.9695e-05,1.9695e-05
96,1420.99,1.41609,0.92461,1.69955,0.90646,0.82796,0.90978,0.46461,1.65762,0.9606,1.80711,1.42993e-05,1.42993e-05,1.42993e-05
97,1436.92,1.46994,0.94359,1.7189,0.9613,0.80133,0.90912,0.46545,1.65715,0.95729,1.80647,9.87741e-06,9.87741e-06,9.87741e-06
98,1448.18,1.44084,0.95086,1.71853,0.96149,0.8055,0.90963,0.46599,1.65973,0.95761,1.80802,6.4336e-06,6.4336e-06,6.4336e-06
99,1465.17,1.49844,0.95455,1.71933,0.96076,0.80645,0.90922,0.46564,1.66151,0.95809,1.80898,3.9713e-06,3.9713e-06,3.9713e-06
100,1478.17,1.4862,0.96889,1.72672,0.95806,0.80645,0.9085,0.46643,1.66318,0.95712,1.80878,2.49295e-06,2.49295e-06,2.49295e-06
