epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,521.374,1.92118,1.53153,2.05421,0.80561,0.66846,0.74964,0.32831,1.90546,1.36357,2.02476,0.00127971,0.00127971,0.00127971
43,534.891,1.87211,1.53413,1.97777,0.80781,0.63277,0.7649,0.28942,2.07183,1.3312,2.12849,0.00124944,0.00124944,0.00124944
44,546.37,1.84172,1.46885,1.96475,0.81695,0.74194,0.81273,0.33406,1.87618,1.37913,2.04315,0.00121893,0.00121893,0.00121893
45,556.946,1.86173,1.44311,1.95138,0.73949,0.73256,0.81459,0.34598,1.80273,1.28785,1.99426,0.00118819,0.00118819,0.00118819
46,570.925,1.89407,1.46088,2.01359,0.74185,0.68817,0.7873,0.31116,1.92997,1.49459,2.07715,0.00115728,0.00115728,0.00115728
47,581.789,1.85868,1.46391,1.98124,0.78644,0.69892,0.80302,0.36398,1.80299,1.38277,1.97777,0.00112621,0.00112621,0.00112621
48,595.205,1.82791,1.48042,1.9679,0.7584,0.62366,0.74332,0.35171,1.81273,1.37604,1.9959,0.00109501,0.00109501,0.00109501
49,605.467,1.82937,1.41839,1.95619,0.7731,0.77419,0.80673,0.35212,1.8956,1.4238,2.05212,0.00106373,0.00106373,0.00106373
50,616.664,1.83983,1.4255,1.97111,0.75689,0.73653,0.79714,0.34895,1.91777,1.36476,2.03594,0.00103238,0.00103238,0.00103238
51,630.094,1.85181,1.42956,1.96435,0.82548,0.80645,0.8492,0.3996,1.87542,1.21574,1.97354,0.001001,0.001001,0.001001
52,643.338,1.81853,1.41686,1.96715,0.86689,0.77033,0.85704,0.38846,1.86588,1.26374,1.97338,0.000969621,0.000969621,0.000969621
53,654.681,1.82768,1.44901,1.92054,0.76427,0.69892,0.79167,0.35821,1.85662,1.32973,1.95264,0.000938272,0.000938272,0.000938272
54,668.784,1.81962,1.42635,1.95014,0.69412,0.73201,0.78976,0.38595,1.80464,1.20261,1.98402,0.000906986,0.000906986,0.000906986
55,678.865,1.77685,1.36754,1.87464,0.90911,0.68817,0.82565,0.34147,1.92486,1.31501,2.00234,0.000875792,0.000875792,0.000875792
56,691.696,1.83254,1.43362,1.97369,0.81002,0.75269,0.83379,0.39772,1.79812,1.24282,1.96081,0.000844722,0.000844722,0.000844722
57,702.679,1.79591,1.37559,1.91307,0.81962,0.78175,0.83227,0.36393,1.91159,1.24945,2.0038,0.000813806,0.000813806,0.000813806
58,715.995,1.76911,1.34722,1.95837,0.94093,0.68516,0.84563,0.35249,1.972,1.26817,2.02031,0.000783075,0.000783075,0.000783075
59,728.149,1.79687,1.35816,1.90471,0.93333,0.75268,0.85699,0.41141,1.78563,1.17214,1.92137,0.000752559,0.000752559,0.000752559
60,738.444,1.79348,1.32703,1.85303,0.8427,0.78495,0.86989,0.4072,1.78948,1.17701,1.92515,0.000722288,0.000722288,0.000722288
61,752.041,1.76947,1.34305,1.86034,0.90781,0.74121,0.86832,0.41663,1.77094,1.23647,1.94006,0.000692292,0.000692292,0.000692292
62,764.63,1.75854,1.31427,1.87206,0.89961,0.69892,0.82991,0.35333,1.94868,1.23652,2.02703,0.000662601,0.000662601,0.000662601
63,777.476,1.80573,1.3667,1.89477,0.91459,0.72043,0.84692,0.43615,1.69583,1.30689,1.90615,0.000633244,0.000633244,0.000633244
64,788.386,1.69845,1.26757,1.83417,0.89684,0.7479,0.86397,0.37193,1.89356,1.24233,1.98469,0.000604249,0.000604249,0.000604249
65,801.794,1.8032,1.37073,1.90925,0.83708,0.82872,0.87088,0.39794,1.86434,1.13448,1.96073,0.000575646,0.000575646,0.000575646
66,813.461,1.68571,1.28598,1.83152,0.85914,0.74194,0.86816,0.4422,1.67841,1.09962,1.84427,0.000547463,0.000547463,0.000547463
67,826.664,1.78732,1.36298,1.86562,0.83131,0.79486,0.85494,0.40696,1.7838,1.20115,1.9203,0.000519728,0.000519728,0.000519728
68,838.39,1.72744,1.29991,1.83573,0.93587,0.78455,0.87822,0.41117,1.77099,1.19593,1.90903,0.000492468,0.000492468,0.000492468
69,851.032,1.72161,1.26419,1.82196,0.91487,0.78495,0.8799,0.39867,1.7862,1.20827,1.93759,0.000465709,0.000465709,0.000465709
